189: [0.3075870871543884, 0.5245220065116882, 0.031848568469285965, 0.23543225228786469], [4, 12GB, 4GB, 244MB]
190: [0.30388036370277405, 0.5540300607681274, 0.00751447444781661, 0.08022124320268631], [4, 13GB, 4GB, 85MB]
191: [0.9442045718534874, 0.4699551463127136, 0.001575761940330267, 0.0033518632408231497], [8, 11GB, 4GB, 7MB]
192: [0.2989872992038727, 0.602075457572937, 0.005717296618968248, 0.03687666356563568], [4, 14GB, 4GB, 41MB]
193: [0.33992016315460205, 0.5579302906990051, 0.009502497501671314, 0.013864971697330475], [4, 13GB, 4GB, 18MB]
194: [0.3670852482318878, 0.5922015309333801, 0.010783407837152481, 0.08119963109493256], [4, 14GB, 4GB, 86MB]
195: [0.32170018553733826, 0.4912427067756653, 0.0018791211768984795, 0.0055052051320672035], [4, 11GB, 4GB, 9MB]
196: [0.32945793867111206, 0.528165340423584, 0.000672254478558898, 0.0046283467672765255], [4, 12GB, 4GB, 8MB]
197: [0.4055320620536804, 0.7187449932098389, 0.000125893420772627, 0.0026844125241041183], [4, 17GB, 4GB, 6MB]
198: [0.33339574933052063, 0.48342031240463257, 0.012429683469235897, 0.5472527610162073], [4, 11GB, 4GB, 562MB]
199: [0.3473415672779083, 0.5392831563949585, 0.0027288664132356644, 0.03266681730747223], [4, 13GB, 4GB, 37MB]
200: [0.3039713501930237, 0.6391356587409973, 0.01063237339258194, 0.13251409415261473], [4, 15GB, 4GB, 139MB]
201: [0.29614827036857605, 0.5974636673927307, 0.003279143711552024, 0.08142261207103729], [4, 14GB, 4GB, 87MB]
202: [0.299112468957901, 0.5862979292869568, 0.008771883323788643, 0.8828335629916416], [4, 14GB, 4GB, 904MB]
203: [0.28884294629096985, 0.5340897440910339, 0.019135309383273125, 0.46033793687820435], [4, 12GB, 4GB, 473MB]
204: [0.2927750051021576, 0.5818424224853516, 0.0046608783304691315, 0.10563124716281891], [4, 14GB, 4GB, 111MB]
205: [0.3246053457260132, 0.5074551105499268, 0.011835189536213875, 0.020408419892191887], [4, 12GB, 4GB, 24MB]
206: [0.3097635507583618, 0.4623526632785797, 0.013275167904794216, 0.0783691331744194], [4, 11GB, 4GB, 83MB]
207: [0.2797105312347412, 0.602461576461792, 0.0019999202340841293, 0.007082092575728893], [4, 14GB, 4GB, 11MB]
208: [0.2540047764778137, 0.7027190923690796, 0.008970528841018677, 0.1649206578731537], [4, 16GB, 4GB, 172MB]
209: [0.24925965070724487, 0.6525948643684387, 0.0019271894125267863, 0.0033536620903760195], [3, 15GB, 4GB, 7MB]
210: [0.24618302285671234, 0.6520224809646606, 0.00018195946177002043, 0.00044974678894504905], [3, 15GB, 4GB, 4MB]
211: [0.29186221957206726, 0.5479708313941956, 0.004144877661019564, 0.10090461373329163], [4, 13GB, 4GB, 106MB]
212: [0.711007605285694, 0.6194450855255127, 0.004469983745366335, 0.02400994673371315], [6, 14GB, 4GB, 28MB]
213: [0.2744282758185901, 0.5148865580558777, 0.0025154410395771265, 0.016675686463713646], [4, 12GB, 4GB, 21MB]
214: [0.2881609797477722, 0.509096086025238, 0.0028432488907128572, 0.01280414592474699], [4, 12GB, 4GB, 17MB]
215: [0.28273430466651917, 0.572502851486206, 0.00033110560616478324, 0.0015705565456300974], [4, 13GB, 4GB, 5MB]
216: [0.26190122961997986, 0.5852348208427429, 0.0003842988808173686, 0.0014828890562057495], [4, 14GB, 4GB, 5MB]
217: [0.25167450308799744, 0.4970497488975525, 0.002040652558207512, 0.0022462320048362017], [4, 11GB, 4GB, 6MB]
218: [0.25513580441474915, 0.5576134324073792, 0.0010553784668445587, 0.0035747457295656204], [4, 13GB, 4GB, 7MB]
219: [0.2637600898742676, 0.542604386806488, 0.002283574314787984, 0.014054293744266033], [4, 13GB, 4GB, 18MB]
220: [0.26427900791168213, 0.5092533230781555, 0.030917858704924583, 0.12429738789796829], [4, 12GB, 4GB, 130MB]
221: [0.2435675412416458, 0.5158939771340547, 0.036241382360458374, 0.40739941596984863], [3, 12GB, 4GB, 419MB]
222: [0.22857293486595154, 0.655151903629303, 0.012516558170318604, 0.10292325913906097], [3, 15GB, 4GB, 108MB]
223: [0.23684948682785034, 0.7142601609230042, 0.0014361741486936808, 0.0072110374458134174], [3, 17GB, 4GB, 11MB]
224: [0.23903237283229828, 0.7245643734931946, 0.0018437576945871115, 0.0036898385733366013], [3, 17GB, 4GB, 7MB]
225: [0.23253133893013, 0.7083292007446289, 0.0016073917504400015, 0.10367996245622635], [3, 17GB, 4GB, 109MB]
226: [0.2350127398967743, 0.6962921619415283, 0.002703882986679673, 0.09884164482355118], [3, 16GB, 4GB, 104MB]
227: [0.24556879699230194, 0.6947225332260132, 0.006096033379435539, 0.10075175762176514], [3, 16GB, 4GB, 106MB]
